MSME_ID,Sector,Growth_Category,Selected_Scheme,Subsidy_Cost,Revenue_Before,Revenue_After,Revenue_Gain,Jobs_Created
MSME_001,Renewable Energy,High,Green Tech Grant,850000,44,53.68,9.68,9
MSME_004,Renewable Energy,High,Green Tech Grant,850000,216,263.52,47.52,9
MSME_009,Renewable Energy,High,Green Tech Grant,850000,33,40.26,7.26,9
MSME_011,Retail,Moderate,Rural Agri-Boost,400000,525,603.75,78.75,6
MSME_014,Retail,Moderate,Rural Agri-Boost,400000,391,449.65,58.65,6
MSME_015,Textiles,Moderate,Textile Modernization,550000,541,605.92,64.92,7
MSME_038,Manufacturing,High,Green Tech Grant,850000,246,300.12,54.12,9
MSME_042,Renewable Energy,High,Green Tech Grant,850000,746,910.12,164.12,9
MSME_054,Technology,High,Pharma R&D Incentive,1000000,562,702.5,140.5,10
MSME_055,Renewable Energy,High,Green Tech Grant,850000,327,398.94,71.94,9
MSME_059,Retail,Moderate,Rural Agri-Boost,400000,23,26.45,3.45,6
MSME_061,Retail,Moderate,Rural Agri-Boost,400000,240,276.0,36.0,6
MSME_062,Renewable Energy,High,Green Tech Grant,850000,93,113.46,20.46,9
MSME_064,Manufacturing,Moderate,Textile Modernization,550000,752,842.24,90.24,7
MSME_068,Manufacturing,High,Green Tech Grant,850000,172,209.84,37.84,9
MSME_072,Services,Low,Digital Startup Fund,300000,433,476.3,43.3,4
MSME_083,Agri-Tech,Moderate,Rural Agri-Boost,400000,601,691.15,90.15,6
MSME_089,Technology,High,Pharma R&D Incentive,1000000,285,356.25,71.25,10
MSME_101,Renewable Energy,High,Green Tech Grant,850000,314,383.08,69.08,9
MSME_102,Services,Low,Digital Startup Fund,300000,506,556.6,50.6,4
MSME_104,Technology,Low,Digital Startup Fund,300000,565,621.5,56.5,4
MSME_107,Pharmaceuticals,High,Pharma R&D Incentive,1000000,728,910.0,182.0,10
MSME_111,Textiles,Moderate,Textile Modernization,550000,651,729.12,78.12,7
MSME_113,Textiles,Moderate,Textile Modernization,550000,302,338.24,36.24,7
MSME_124,Renewable Energy,High,Green Tech Grant,850000,700,854.0,154.0,9
MSME_125,Agri-Tech,Moderate,Rural Agri-Boost,400000,215,247.25,32.25,6
MSME_137,Manufacturing,High,Green Tech Grant,850000,48,58.56,10.56,9
MSME_140,Manufacturing,High,Green Tech Grant,850000,504,614.88,110.88,9
MSME_142,Manufacturing,Moderate,Textile Modernization,550000,187,209.44,22.44,7
MSME_148,Retail,Moderate,Rural Agri-Boost,400000,317,364.55,47.55,6
MSME_149,Manufacturing,Moderate,Textile Modernization,550000,345,386.4,41.4,7
MSME_150,Textiles,Moderate,Textile Modernization,550000,755,845.6,90.6,7
MSME_154,Retail,Moderate,Rural Agri-Boost,400000,138,158.7,20.7,6
MSME_161,Renewable Energy,High,Green Tech Grant,850000,95,115.9,20.9,9
MSME_162,Manufacturing,High,Green Tech Grant,850000,184,224.48,40.48,9
MSME_163,Textiles,Moderate,Textile Modernization,550000,202,226.24,24.24,7
